#,Group,Selected model / module,Type,Where used in pipeline,Alternatives considered,Why selected over the alternatives,License,Defense ref
1,Perception spine,pyiqa / piqa IQA scorer,model,§3.0 Ingest quality gate (step 0),"classical BRISQUE/NIQE; no gate","Learned lightweight blur/exposure/glare scoring; gates restoration so we don't waste compute or add artifacts on clean images.",shippable,
2,Perception spine,Retinexformer,model,§3.1 Preprocessing low-light branch,"RetinexMamba; MambaLLIE; Zero-DCE++","ICCV'23 NTIRE 2024 runner-up; strong LLIE with public checkpoint; only runs when IQA flags low-light; behind an ablation.",shippable,
3,Perception spine,OneRestore,model,§3.1 Preprocessing weather branch,"separate Rain100/SOTS/GoPro task-specific models","One model restores composite rain/haze/blur instead of chaining three single-degradation models.",shippable,
4,Perception spine,RF-DETR-N/S,model,§3.2 Detection Stage-1 fast screen,"YOLOv12; YOLOv8/11; RT-DETR","Apache-2.0 license-clean with DINOv2 backbone; strong on small/occluded/dense; fine-tunes well; YOLO/YOLOv12 are AGPL.",shippable,J6
5,Perception spine,RF-DETR-L / Co-DETR,model,§3.2 Detection Stage-2 confirm,"reuse Stage-1; single-stage detector","RF-DETR-L first real-time 60+ mAP COCO; Co-DETR is the AICC helmet rank-1 backbone; highest-precision second opinion on candidate crops.",shippable/open,
6,Perception spine,YOLOv12,model,§3.2 internal benchmarking only (never shipped),"—","Fast/strong comparator (40.6% mAP-N @1.64 ms T4) but AGPL-3.0 so kept out of the distributed submission.",AGPL (study-only),J6
7,Perception spine,YOLO-World / GroundingDINO,model,§3.2 / §3.10 cold-start & offline auto-label,"manual labeling only","Open-vocab label-free detection of rare Indian classes for the data engine; not the latency-critical primary.",shippable,J4
8,Perception spine,BoostTrack / BoostTrack++,model,§3.3 Tracking (persistent IDs),"ByteTrack; BoT-SORT; OC-SORT","HOTA 69.25 > ByteTrack 67.68 on MOT17; via boxmot so BoT-SORT/ByteTrack are drop-in fallbacks; IDs enable temporal violations.",shippable,J5
9,Paradigm A+B,AICC Track 5 seven-class scheme,module,§3.4 Helmet + Triple-riding (anchor),"separate helmet classifier + separate rider-counting head; pure SAC/pose","One scheme encodes helmet compliance AND rider count together; public dataset + proven winning recipes to beat.",shippable (re-impl.),J2
10,Paradigm A+B,Two-stage detect->crop->classify,module,§3.4 inside the 7-class module,"single-stage whole-frame classification","All AICC winners converge here; detect motorbike @hi-res then crop then classify recovers small/distant riders.",shippable,
11,Paradigm A+B,SAM2 masks + RTMPose keypoints,model,§3.4 rider<->bike association (primary),"overlap + nearest-x-center heuristic only","Learned masks+pose give robust head->rider->bike attribution in dense overlap; VNPT heuristic kept as license-clean fallback.",shippable,
12,Paradigm A+B,Windshield->driver-crop->belt CNN/CNN-SVM,module,§3.5 Seatbelt (daytime best-effort),"end-to-end whole-frame seatbelt classifier","Belt is a tiny ROI behind glass; two-stage crop is the only thing that works; honestly scoped to daytime.",shippable,
13,Paradigm C,Geometry-as-config Scene Context Model,module,§3.6 red-light/wrong-side/stop-line/parking,"learned end-to-end temporal/video model","Fixed cameras -> annotate geometry once; interpretable auditable court-admissible; needs no nonexistent labelled temporal dataset.",shippable,J3
14,Paradigm C,Signal-state classifier (LISA/BSTLD),model,§3.6 red-light rule input,"VLM read of the signal","Cheap deterministic 3-state classifier on the signal ROI beats per-frame VLM; pairs with the geometry rule (red AND crossing).",shippable,
15,Paradigm C,LocateAnything3D (CVPR'26),model,§3.6 single-frame monocular-3D,"nothing (can't judge from a still otherwise)","Monocular 3D yaw/ground-position lets wrong-side & stop-line be decided from one still; foundation-model role only.",verify,J1
16,ANPR,RF-DETR plate detector,model,§3.7 plate localization,"separate YOLO plate detector","Reuses the Apache spine; no extra AGPL dependency for one extra class.",shippable,
17,ANPR,PaddleOCR PP-OCRv5,model,§3.7 plate OCR (primary),"PP-OCRv4; PARSeq; EasyOCR; VLM-only","+13pp E2E over v4; handles rotation/skew; v4 kept as high-throughput option; EasyOCR backup; ANPR is ROI-gated so accuracy wins.",shippable,
18,ANPR,Indian-format (HSRP) syntax validator,module,§3.7 post-OCR,"accept raw OCR string","State-code + HSRP regex rejects impossible plates and corrects near-misses; raises effective plate accuracy.",shippable,
19,ANPR,Self-reflective VLM (arXiv 2508.01387),model,§3.7 low-conf cross-check + make/model,"OCR only","Independent OCR cross-check on low-conf plates plus make/model enrichment (UFPR-ALPR 83% plate/61% make-model); augments never replaces OCR.",shippable,
20,Decision/serving,Temperature scaling + per-class thresholds + abstain band,module,§3.8 confidence cascade (step 5),"raw softmax confidence","Calibrated scores + 3 bands (auto-confirm/human-review/discard) satisfy the assign-confidence ask and make auto-challan defensible.",shippable,
21,Decision/serving,Qwen2.5-VL / InternVL3 / LocateAnything-3B,model,§3.9 VLM verify + caption (step 6),"per-frame VLM; closed GPT-4V","Open-source; run only on low-confidence cases (cascade) -> precision + NL evidence without per-frame VLM cost (~200-1000x too expensive).",shippable,J1
22,Decision/serving,Signed JSON + SHA-256 + audit trail,module,§4 evidence generator (step 7),"plain record / image only","Tamper-evident versioned court-admissible; the differentiator vs a helmet-detector demo.",shippable,
23,Decision/serving,SQLite/Postgres + object store + Streamlit/FastAPI,module,§5 store + analytics dashboard (8/9),"heavyweight data platform","Lightweight searchable records + exportable reports + hotspot/trend views; fast to build for the MVP.",shippable,
24,Offline,GroundingDINO / Grounded-SAM-2 / Florence-2 / LocateAnything-3B -> distill,module,§3.10 offline data engine,"hand-label everything","Open-vocab teachers auto-label rare Indian classes -> human spot-check -> distill into Stage-1 RF-DETR; runs offline off the latency path.",mixed (teacher-only),"J1, J4"
